editcount	name	userid
543.0	Wy harvard	12569791.0
11.0	Gwendolyn7777	1451767.0
102254.0	Jim Sweeney	6542747.0
11.0	Vmob	2195174.0
368.0	Morten	824218.0
4.0	Mortek	467093.0
315.0	Bucinka	2706826.0
414.0	Letzebuergerr	7111098.0
459.0	Jx242	20588084.0
5.0	Sammiepants	9754975.0
31.0	Marco polo 52	10756089.0
249.0	W0129	7181864.0
45.0	Jacob F. Roecker	5095756.0
14.0	Krystal M Thomas	16719195.0
1.0	J greerx0	8124239.0
20.0	ImMorsmordre	14762581.0
2777.0	Thefakemelissa	19137996.0
14924.0	GabeIglesia	17543794.0
3.0	Peter Musurlian	4198572.0
2.0	Kerigirl	976241.0
381.0	Crieff405	1008038.0
15921.0	Eequor	49577.0
5.0	Ciggy5102	11220991.0
3.0	Newyorklisa	15558544.0
82.0	Lqstuart	8051245.0
168.0	Riyuky	6673933.0
74.0	Celestial Reader	16952593.0
1.0	Edylewis	12752037.0
35144.0	Triwbe	4158767.0
260.0	Phoenix Flower	2135587.0
119.0	SwcJholmes	7575602.0
31.0	Ufm19	12600439.0
6.0	Gw.hajduk	12930849.0
1747.0	Leandros	86212.0
12.0	Calder Pegden	2646493.0
445.0	Metaeducation	269156.0
20480.0	Leandrod	3915.0
54.0	Efsawyer	17392.0
4.0	Jokinghahaha	5990458.0
728.0	Corlyon	2307828.0
1.0	54unity	21763620.0
1.0	Ilovestephenbaldwin99	6716368.0
15.0	Zipzaprap	6553861.0
141.0	Camxx	2846964.0
72.0	PopCultureIsGood	5183004.0
52.0	Mynameiswill	3332642.0
3.0	Magholor	13942117.0
1117.0	Ziko	5637167.0
7.0	Personrules	8644367.0
137.0	Anyquestions	3588084.0
2.0	Gabrieljimenez	12879045.0
407.0	Zik2	6067153.0
8.0	Kim1095	20600740.0
3.0	Personmang	5273051.0
4.0	Wikimonitor2	1479788.0
10973.0	Peter Flass	7557079.0
7.0	Guitarguy121	14819390.0
39.0	Crazysquirrel4	15103936.0
1.0	Jerry Ford22	7625154.0
68.0	Iubilus	348859.0
6.0	Picklefondu	16117510.0
5720.0	Lifebonzza	2306814.0
19.0	Johnzaid	4578122.0
51.0	Personman2	2498288.0
111.0	Jonathan.Mackintosh	7016229.0
43.0	Rajwoodson	662695.0
1.0	Sambrand	4818284.0
81.0	Pjotr Morgen	4608219.0
209.0	Csodennc	2663248.0
37.0	Jeremywc	1944560.0
651.0	RiseRobotRise	711006.0
3.0	Kiara deanes	10088022.0
156.0	Tellinghistory	3072886.0
34.0	Mgarde~enwiki	954490.0
127.0	Propagator	8612468.0
26.0	Razmatazzz	3572824.0
9246.0	Nephron	321400.0
142.0	Polly Hedra	5838157.0
1667.0	Rosenzweig	121149.0
834.0	Danny-w	388605.0
38.0	Kombinatorik	7973428.0
10.0	Jonnguyentoledo	19710886.0
74.0	Ustyuzhanin	1448036.0
78.0	Onewiseman90	7862684.0
339.0	Narcissus14	216103.0
507.0	Damnreds	127171.0
34818.0	Nigej	2961577.0
159.0	Danrz	2510014.0
233.0	Tjbird9675	14860002.0
239.0	Matt.forestpath	712760.0
95.0	BGRuthless	2373543.0
10.0	Polak123	7067166.0
62.0	Akg96	1439880.0
2384.0	Exeunt	226595.0
12.0	Ejstarmax	583652.0
141.0	SHarold	6797525.0
1.0	Ckoch99	23351239.0
137.0	Sime0n	284638.0
3619.0	DanKeshet	170.0
4.0	Scientistman69	5020777.0
773.0	2nd Piston Honda	801648.0
76401.0	Bubba73	218586.0
848.0	Rufous	190100.0
3.0	Otrain7	1097565.0
1.0	LloydMarcus	13964911.0
