POLICY	Redirects
Wikipedia:Administrators	"WP:ADMIN, WP:SYSOP, WP:MOP"
Wikipedia:Appealing a block	"WP:AAB, WP:APPEAL"
Wikipedia:Article titles	"WP:AT, WP:TITLE"
Wikipedia:Banning policy	WP:BAN
Wikipedia:Blocking policy	"WP:BP, WP:BLOCK"
Wikipedia:Bot policy	WP:BOTPOL
Wikipedia:Consensus	"WP:CON, WP:CONS"
Wikipedia:Criteria for speedy deletion	WP:CSD
Wikipedia:Civility	WP:CIVIL
Wikipedia:Copyrights	"WP:C, WP:COPY"
Wikipedia:Deletion policy	"WP:DP, WP:DEL, WP:DELETE"
Wikipedia:Dispute resolution	WP:DR
Wikipedia:Editing policy	WP:EP
Wikipedia:Edit warring	"WP:EW, WP:WAR"
Wikipedia:Harassment	WP:HA
Wikipedia:Ignore all rules	WP:IAR
Wikipedia:IP block exemption	"WP:EXEMPT, WP:IPEXEMPT, WP:IPBE"
Wikipedia:Image use policy	WP:IUP
Wikipedia:List of policies	WP:LOP
Wikipedia:Neutral point of view	"WP:NPOV, WP:NEU"
Wikipedia:No legal threats	"WP:NLT, WP:LEGAL, WP:THREAT"
Wikipedia:No original research	"WP:NOR, WP:OR"
Wikipedia:No personal attacks	"WP:NPA, WP:PA"
Wikipedia:Ownership of articles	WP:OWN
Wikipedia:Policies and guidelines	"WP:POLICY, WP:RULES"
Wikipedia:Proposed deletion	WP:PROD
Wikipedia:Sock puppetry	WP:SOCK
Wikipedia:Username policy	"WP:NIU, WP:NOU, WP:U, WP:UN"
Wikipedia:Vandalism	"WP:VAND, WP:VANDAL, WP:-("
Wikipedia:Verifiability	"WP:V, WP:VERIFY"
Wikipedia:What Wikipedia is not	"WP:NOT, WP:WWIN, WP:WWPIN, WP:ISNOT, WP:ALSONOT"
Wikipedia:Wikipedia is an encyclopedia	WP:ENC
Wikipedia:Wikipedia is not a dictionary	"WP:WINAD, WP:DICDEF"
Wikipedia:Administrator intervention against vandalism	WP:AIV
Wikipedia:Administrators' noticeboard	WP:AN
Wikipedia:Administrators' noticeboard/Edit warring	"WP:AN3, WP:AN/3RR"
Wikipedia:Administrators' noticeboard/Incidents	"WP:ANI, WP:AN/I"
Wikipedia:Arbitration/Requests	"WP:ARBREQ, WP:RFAR"
Wikipedia:Arbitration Committee	WP:AC
Wikipedia:Arbitration Committee/Clerks	WP:AC/C
Wikipedia:Articles for creation	WP:AFC
Wikipedia:Articles for deletion	"WP:AFD, WP:LFD"
Wikipedia:Articles for deletion/Log/Today	WP:AFD/T WP:AFD/TODAY
Wikipedia:Articles for deletion/Log/Yesterday	WP:AFD/Y
Wikipedia:Articles for deletion/Maintenance	WP:AFDM
Wikipedia:Articles for deletion/Old	WP:AFDO
Wikipedia:Articles for deletion/Common outcomes	WP:AFDP
Wikipedia:Categories for discussion	WP:CFD
Wikipedia:Cleanup	WP:CLEANUP
Wikipedia:Copyright problems	"WP:CP, WP:CV"
Wikipedia:Deletion review	WP:DRV WP:VFU
Wikipedia:Files for discussion	WP:IFD
Wikipedia:Graphics Lab/Maintenance/Images for cleanup	WP:IFC
Wikipedia:Long-term abuse	WP:LTA
Wikipedia:Maintenance	WP:WM
Wikipedia:Mediation Committee	WP:MC
Wikipedia:Miscellany for deletion	WP:MFD
Wikipedia:Peer review	WP:PR
Wikipedia:Proposed mergers	WP:PM
Wikipedia:Redirects for discussion	WP:RFD
Wikipedia:Requested articles	WP:RA
Wikipedia:Requested moves	WP:RM
Wikipedia:Requested pictures	WP:RP
Wikipedia:Requests for adminship	"WP:RFA, WP:VFA"
Wikipedia:Requests for comment	"WP:RFC, WP:RFROAA"
Wikipedia:Requests for comment/User conduct	WP:RFC/USER
Wikipedia:Requests for history merge	WP:SPLICE
Wikipedia:Requests for mediation	WP:RFM
Wikipedia:Requests for oversight	WP:RFO
Wikipedia:Requests for page protection	"WP:RFPP, WP:RFP, WP:RPP"
Wikipedia:RFA summary	WP:RFASUM
Wikipedia:Templates for discussion	WP:TFD
Wikipedia:Templates with red links	WP:TRL
Wikipedia:List of guidelines	"WP:LGL, WP:LOGL, WP:GUIDELINES"
Wikipedia:Assume good faith	"WP:AGF, WP:ASG, WP:AFG, WP:GF, WP:FAITH"
Wikipedia:Be bold	"WP:BB, WP:BBIUP, WP:BBIEP, WP:BOLD, WP:SOFIXIT"
Wikipedia:Biographies of living persons	"WP:LIVING, WP:BLP"
